mpirun -np 2 --map-by ppr:1:core --mca pml ob1 --mca btl self,vader --report-bindings ./IMB-MPI1 PingPong -msglog 28
# host 1: ct1pt-tnode007 socket 0 core 0 | host 2: ct1pt-tnode007 socket 0 core 1 | 
# Computed latency: 0.269 usec | Computed bandwidth: 4.5 Gb/s |
   #bytes  #repetitions    t[usec]  t[usec]_computed  Mbytes/sec  Mbytes/sec_computed
        0          1000     0.2500          0.269200      0.0000             0.000000
        1          1000     0.2760          0.269423      3.6230             3.711632
        2          1000     0.2775          0.269646      7.2245             7.417131
        4          1000     0.2765          0.270092     14.5175            14.809788
        8          1000     0.2770          0.270983     28.9310            29.522164
       16          1000     0.3010          0.272765     53.1820            58.658503
       32          1000     0.2995          0.276330    106.8120           115.803568
       64          1000     0.3430          0.283460    186.7795           225.781782
      128          1000     0.4040          0.297719    317.1250           429.936160
      256          1000     0.4625          0.326237    553.5635           784.706132
      512          1000     0.6215          0.383273    826.3715          1335.862097
     1024          1000     0.7190          0.497346   1430.9100          2058.929919
     2048          1000     0.8510          0.725491   2410.3935          2822.915807
     4096          1000     1.7875          1.181782   2293.3545          3465.953641
     8192          1000     2.1000          2.094363   3904.8100          3911.452580
    16384          1000     2.6880          3.919525   6102.2030          4180.098630
    32768          1000     3.7495          7.569849   8748.3495          4328.752120
    65536           640     5.4740         14.870498  12005.3785          4407.115474
   131072           320    10.2515         29.471795  12814.1935          4447.370828
   262144           160    18.8465         58.674389  13915.5010          4467.775544
   524288            80    38.7705        117.079577  13526.5300          4478.048277
  1048576            40    90.9950        233.889954  11526.3040          4483.202379
  2097152            20   216.3610        467.510708   9702.9135          4485.783882
  4194304            10   435.9860        934.752216   9623.1245          4487.075748
  8388608             5  1508.5090       1869.235232   5561.0715          4487.721960
 16777216             2  3736.5625       3738.201264   4490.0465          4488.045136
 33554432             1  7494.5285       7476.133327   4477.2130          4488.206742
 67108864             1 14973.7390      14951.997453   4481.7830          4488.287549
134217728             1 29893.9810      29903.725705   4489.7935          4488.327954
268435456             1 59690.6005      59807.182210   4497.1455          4488.348156
