mpirun -np 2 --map-by ppr:1:socket --mca pml ob1 --mca btl self,vader --report-bindings ./IMB-MPI1 PingPong -msglog 28
# host 1: ct1pt-tnode007 socket 0 core 0 | host 2: ct1pt-tnode007 socket 1 core 12 | 
# Computed latency: 0.598 usec | Computed bandwidth: 3.9 Gb/s |
   #bytes  #repetitions    t[usec]  t[usec]_computed  Mbytes/sec  Mbytes/sec_computed
        0          1000     0.5480          0.597717      0.0000             0.000000
        1          1000     0.6230          0.597973      1.6050             1.672317
        2          1000     0.6275          0.598229      3.1935             3.343203
        4          1000     0.6280          0.598741      6.3845             6.680685
        8          1000     0.6250          0.599765     12.8205            13.338550
       16          1000     0.6850          0.601814     23.4045            26.586285
       32          1000     0.7465          0.605912     42.9560            52.812991
       64          1000     0.8965          0.614106     71.5410           104.216459
      128          1000     1.0910          0.630496    118.0600           203.014667
      256          1000     1.1855          0.663276    216.2575           385.962983
      512          1000     1.1935          0.728835    430.7080           702.490483
     1024          1000     1.4465          0.859954    709.1980          1190.760808
     2048          1000     1.7785          1.122192   1155.3925          1824.999290
     4096          1000     2.8465          1.646668   1440.6375          2487.447613
     8192          1000     3.2790          2.695619   2502.6260          3039.005029
    16384          1000     3.7050          4.793522   4426.1005          3417.946415
    32768          1000     4.8225          8.989327   6803.4780          3645.211856
    65536           640     6.5080         17.380937  10091.8175          3770.567793
   131072           320    11.2500         34.164157  11680.2115          3836.535495
   262144           160    20.0420         67.730597  13091.8440          3870.392585
   524288            80    40.2520        134.863477  13035.0550          3887.546213
  1048576            40    93.5520        269.129238  11211.0550          3896.180172
  2097152            20   225.7415        537.660759   9291.7840          3900.511549
  4194304            10   413.6430       1074.723801  10140.5160          3902.680851
  8388608             5   901.0210       2148.849886   9310.7060          3903.766407
 16777216             2  3264.1635       4297.102056   5139.8560          3904.309412
 33554432             1  8519.6490       8593.606395   3938.5030          3904.580971
 67108864             1 17145.3105      17186.615074   3914.1365          3904.716764
134217728             1 34268.9565      34372.632432   3916.6415          3904.784665
268435456             1 68569.6780      68744.667147   3914.8960          3904.818616
